[residual] loading 16 LoRAs to compute mean template...
[mean_template_baseline] cos=0.9310 rel=0.3659 mse=0.000070
/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae_residual] dataset=16 num_pairs=80 rank=64 latent_dim=41472 device=cuda
step=01020/10000 loss=0.000055 mse=0.000055 cos=-0.0126 rel=1.0144 nr=0.1581 fcos=0.9399 frel=0.3415 fnr=0.9382
step=01030/10000 loss=0.000041 mse=0.000041 cos=-0.0011 rel=1.0176 nr=0.1873 fcos=0.9521 frel=0.3064 fnr=0.9731
step=01040/10000 loss=0.000044 mse=0.000044 cos=-0.0206 rel=1.0199 nr=0.1807 fcos=0.9494 frel=0.3148 fnr=0.9714
step=01050/10000 loss=0.000068 mse=0.000068 cos=-0.0106 rel=1.0108 nr=0.1375 fcos=0.9311 frel=0.3649 fnr=0.9195
step=01060/10000 loss=0.000045 mse=0.000045 cos=0.0037 rel=1.0138 nr=0.1703 fcos=0.9488 frel=0.3168 fnr=0.9713
step=01070/10000 loss=0.000048 mse=0.000048 cos=-0.0191 rel=1.0198 nr=0.1816 fcos=0.9465 frel=0.3237 fnr=0.9727
step=01080/10000 loss=0.000068 mse=0.000068 cos=-0.0338 rel=1.0155 nr=0.1459 fcos=0.9328 frel=0.3611 fnr=0.9111
step=01090/10000 loss=0.000044 mse=0.000044 cos=-0.0026 rel=1.0173 nr=0.1843 fcos=0.9497 frel=0.3140 fnr=0.9715
step=01100/10000 loss=0.000052 mse=0.000052 cos=-0.0107 rel=1.0132 nr=0.1529 fcos=0.9420 frel=0.3357 fnr=0.9378
step=01110/10000 loss=0.000047 mse=0.000047 cos=0.0110 rel=1.0129 nr=0.1725 fcos=0.9472 frel=0.3215 fnr=0.9721
step=01120/10000 loss=0.000044 mse=0.000044 cos=-0.0225 rel=1.0187 nr=0.1731 fcos=0.9489 frel=0.3170 fnr=0.9800
step=01130/10000 loss=0.000053 mse=0.000053 cos=-0.0251 rel=1.0169 nr=0.1613 fcos=0.9415 frel=0.3370 fnr=0.9380
step=01140/10000 loss=0.000044 mse=0.000044 cos=-0.0105 rel=1.0225 nr=0.2033 fcos=0.9486 frel=0.3182 fnr=0.9800
step=01150/10000 loss=0.000072 mse=0.000072 cos=-0.0210 rel=1.0115 nr=0.1325 fcos=0.9293 frel=0.3701 fnr=0.9067
step=01160/10000 loss=0.000045 mse=0.000045 cos=-0.0049 rel=1.0151 nr=0.1694 fcos=0.9486 frel=0.3172 fnr=0.9716
step=01170/10000 loss=0.000052 mse=0.000052 cos=-0.0051 rel=1.0134 nr=0.1595 fcos=0.9419 frel=0.3358 fnr=0.9376
step=01180/10000 loss=0.000043 mse=0.000043 cos=0.0024 rel=1.0125 nr=0.1609 fcos=0.9501 frel=0.3125 fnr=0.9707
step=01190/10000 loss=0.000044 mse=0.000044 cos=-0.0120 rel=1.0171 nr=0.1740 fcos=0.9497 frel=0.3139 fnr=0.9717
step=01200/10000 loss=0.000048 mse=0.000048 cos=-0.0205 rel=1.0157 nr=0.1588 fcos=0.9447 frel=0.3282 fnr=0.9592
step=01210/10000 loss=0.000058 mse=0.000058 cos=-0.0197 rel=1.0130 nr=0.1436 fcos=0.9370 frel=0.3493 fnr=0.9338
step=01220/10000 loss=0.000041 mse=0.000041 cos=-0.0045 rel=1.0156 nr=0.1728 fcos=0.9523 frel=0.3058 fnr=0.9723
step=01230/10000 loss=0.000068 mse=0.000068 cos=-0.0194 rel=1.0120 nr=0.1371 fcos=0.9310 frel=0.3653 fnr=0.9195
step=01240/10000 loss=0.000048 mse=0.000048 cos=-0.0163 rel=1.0159 nr=0.1634 fcos=0.9447 frel=0.3282 fnr=0.9596
step=01250/10000 loss=0.000054 mse=0.000054 cos=0.0081 rel=1.0096 nr=0.1472 fcos=0.9405 frel=0.3398 fnr=0.9378
step=01260/10000 loss=0.000047 mse=0.000047 cos=-0.0199 rel=1.0144 nr=0.1518 fcos=0.9460 frel=0.3241 fnr=0.9548
step=01270/10000 loss=0.000072 mse=0.000072 cos=-0.0244 rel=1.0118 nr=0.1317 fcos=0.9282 frel=0.3729 fnr=0.9052
step=01280/10000 loss=0.000044 mse=0.000044 cos=-0.0133 rel=1.0164 nr=0.1693 fcos=0.9498 frel=0.3137 fnr=0.9712
step=01290/10000 loss=0.000044 mse=0.000044 cos=-0.0222 rel=1.0166 nr=0.1624 fcos=0.9492 frel=0.3163 fnr=0.9800
step=01300/10000 loss=0.000067 mse=0.000067 cos=-0.0007 rel=1.0075 nr=0.1220 fcos=0.9316 frel=0.3637 fnr=0.9197
step=01310/10000 loss=0.000047 mse=0.000047 cos=-0.0139 rel=1.0116 nr=0.1394 fcos=0.9452 frel=0.3268 fnr=0.9585
step=01320/10000 loss=0.000043 mse=0.000043 cos=-0.0051 rel=1.0124 nr=0.1528 fcos=0.9496 frel=0.3150 fnr=0.9793
step=01330/10000 loss=0.000041 mse=0.000041 cos=-0.0034 rel=1.0143 nr=0.1663 fcos=0.9524 frel=0.3054 fnr=0.9723
step=01340/10000 loss=0.000054 mse=0.000054 cos=-0.0217 rel=1.0116 nr=0.1323 fcos=0.9402 frel=0.3405 fnr=0.9375
step=01350/10000 loss=0.000047 mse=0.000047 cos=-0.0244 rel=1.0147 nr=0.1496 fcos=0.9460 frel=0.3242 fnr=0.9552
step=01360/10000 loss=0.000045 mse=0.000045 cos=-0.0190 rel=1.0140 nr=0.1502 fcos=0.9487 frel=0.3169 fnr=0.9708
step=01370/10000 loss=0.000047 mse=0.000047 cos=-0.0231 rel=1.0140 nr=0.1463 fcos=0.9471 frel=0.3218 fnr=0.9720
