/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae] dataset=16 num_pairs=80 rank=64 latent_dim=65536 device=cuda
step=01710/2000 loss=0.045556 tensor_mse=0.036209 delta_mse=0.000003 cos=0.0653 rel=1.0419
step=01720/2000 loss=0.047898 tensor_mse=0.038907 delta_mse=0.000006 cos=0.1010 rel=1.0255
step=01730/2000 loss=0.047713 tensor_mse=0.038715 delta_mse=0.000006 cos=0.1003 rel=1.0301
step=01740/2000 loss=0.044630 tensor_mse=0.035211 delta_mse=0.000003 cos=0.0581 rel=1.0458
step=01750/2000 loss=0.047361 tensor_mse=0.038296 delta_mse=0.000005 cos=0.0935 rel=1.0332
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v1/checkpoint-1750
step=01760/2000 loss=0.046035 tensor_mse=0.036949 delta_mse=0.000004 cos=0.0914 rel=1.0240
step=01770/2000 loss=0.046104 tensor_mse=0.036762 delta_mse=0.000005 cos=0.0658 rel=1.0715
step=01780/2000 loss=0.044736 tensor_mse=0.035493 delta_mse=0.000003 cos=0.0757 rel=1.0319
step=01790/2000 loss=0.046861 tensor_mse=0.037558 delta_mse=0.000008 cos=0.0697 rel=1.0822
step=01800/2000 loss=0.045785 tensor_mse=0.036787 delta_mse=0.000005 cos=0.1002 rel=1.0273
step=01810/2000 loss=0.045302 tensor_mse=0.035837 delta_mse=0.000003 cos=0.0536 rel=1.0472
step=01820/2000 loss=0.047822 tensor_mse=0.038846 delta_mse=0.000006 cos=0.1024 rel=1.0315
step=01830/2000 loss=0.046469 tensor_mse=0.037545 delta_mse=0.000005 cos=0.1077 rel=1.0192
step=01840/2000 loss=0.045302 tensor_mse=0.036036 delta_mse=0.000003 cos=0.0734 rel=1.0304
step=01850/2000 loss=0.046634 tensor_mse=0.037619 delta_mse=0.000005 cos=0.0985 rel=1.0261
step=01860/2000 loss=0.045790 tensor_mse=0.036419 delta_mse=0.000004 cos=0.0629 rel=1.0513
step=01870/2000 loss=0.047202 tensor_mse=0.038391 delta_mse=0.000006 cos=0.1190 rel=1.0129
step=01880/2000 loss=0.045649 tensor_mse=0.036098 delta_mse=0.000004 cos=0.0450 rel=1.0783
step=01890/2000 loss=0.045128 tensor_mse=0.035679 delta_mse=0.000003 cos=0.0551 rel=1.0457
step=01900/2000 loss=0.045281 tensor_mse=0.035833 delta_mse=0.000003 cos=0.0552 rel=1.0468
step=01910/2000 loss=0.045824 tensor_mse=0.036835 delta_mse=0.000004 cos=0.1012 rel=1.0272
step=01920/2000 loss=0.047058 tensor_mse=0.038022 delta_mse=0.000005 cos=0.0965 rel=1.0305
step=01930/2000 loss=0.045667 tensor_mse=0.036371 delta_mse=0.000003 cos=0.0704 rel=1.0374
step=01940/2000 loss=0.045779 tensor_mse=0.036784 delta_mse=0.000004 cos=0.1006 rel=1.0261
step=01950/2000 loss=0.045347 tensor_mse=0.035852 delta_mse=0.000003 cos=0.0505 rel=1.0508
step=01960/2000 loss=0.044519 tensor_mse=0.035007 delta_mse=0.000003 cos=0.0488 rel=1.0744
step=01970/2000 loss=0.047263 tensor_mse=0.038470 delta_mse=0.000005 cos=0.1208 rel=1.0125
step=01980/2000 loss=0.046374 tensor_mse=0.037471 delta_mse=0.000005 cos=0.1098 rel=1.0206
step=01990/2000 loss=0.046945 tensor_mse=0.038241 delta_mse=0.000005 cos=0.1297 rel=1.0070
step=02000/2000 loss=0.045200 tensor_mse=0.035777 delta_mse=0.000003 cos=0.0577 rel=1.0556
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v1/checkpoint-2000
